(1.79068, -0.59399)
(2.08105, -0.58209)
(2.33293, -0.43224)
(2.40992, -0.15981)
(2.40848, 0.13774)
(2.35849, 0.44001)
(2.26565, 0.72557)
(2.14608, 0.99235)
(1.98720, 1.24698)
(1.79180, 1.48082)
(1.57727, 1.68868)
(1.34263, 1.86688)
(1.08137, 2.02139)
(0.82378, 2.13517)
(0.71900, 2.39778)
(0.72643, 2.66491)
(0.89443, 2.90623)
(1.18662, 3.00785)
(1.23694, 3.28432)
(1.33148, 3.56529)
(1.15075, 3.60047)
(0.84126, 3.63236)
(0.63922, 3.50041)
(0.43839, 3.28048)
(0.15614, 3.28431)
(-0.13158, 3.29581)
(-0.39049, 3.25860)
(-0.61235, 3.46076)
(-0.80584, 3.64004)
(-1.09469, 3.59879)
(-1.34526, 3.58497)
(-1.24450, 3.31915)
(-1.20305, 3.01376)
(-0.92571, 2.92608)
(-0.73327, 2.75980)
(-0.72729, 2.43136)
(-0.76252, 2.17942)
(-1.04913, 2.03609)
(-1.30977, 1.89344)
(-1.55265, 1.70995)
(-1.76908, 1.50425)
(-1.96564, 1.27767)
(-2.12660, 1.02627)
(-2.25602, 0.75325)
(-2.34960, 0.46841)
(-2.40653, 0.18482)
(-2.40998, -0.12160)
(-2.35221, -0.41021)
(-2.11429, -0.57588)
(-1.81518, -0.59399)
(-1.52558, -0.59400)
(-1.22147, -0.59400)
(-0.91735, -0.59400)
(-0.62772, -0.59400)
(-0.32361, -0.59400)
(-0.01950, -0.59400)
(0.28460, -0.59400)
(0.57423, -0.59400)
(0.87834, -0.59400)
(1.18246, -0.59400)
(1.47209, -0.59400)
